city,state_id,lat,lng,population
Dallas,TX,32.7936,-96.7662,5743938
Houston,TX,29.7863,-95.3889,5464251
San Antonio,TX,29.4658,-98.5253,2049293
Austin,TX,30.3004,-97.7522,1687311
Fort Worth,TX,32.7811,-97.3473,909585
El Paso,TX,31.8479,-106.4309,843386
McAllen,TX,26.2273,-98.2471,804114
Denton,TX,33.2176,-97.1419,457177
Arlington,TX,32.6998,-97.125,398854
Corpus Christi,TX,27.726,-97.3755,342464
Plano,TX,33.0502,-96.7487,287677
Lubbock,TX,33.5659,-101.8878,267648
Laredo,TX,27.5629,-99.4875,262491
McKinney,TX,33.2015,-96.6669,258277
Killeen,TX,31.0754,-97.7296,258009
Garland,TX,32.91,-96.6305,239928
Irving,TX,32.8584,-96.9702,239798
Brownsville,TX,25.998,-97.4565,227239
College Station,TX,30.5852,-96.296,215243
Amarillo,TX,35.1988,-101.8311,205603
Frisco,TX,33.1555,-96.8215,200490
Grand Prairie,TX,32.6872,-97.0209,194543
Waco,TX,31.5598,-97.1881,192315
Odessa,TX,31.8831,-102.3406,155998
Midland,TX,32.0249,-102.1137,154793
Port Arthur,TX,29.8554,-93.9264,154468
Pasadena,TX,29.6583,-95.1499,151227
Beaumont,TX,30.0849,-94.1451,146091
Tyler,TX,32.3184,-95.3062,143796
Mesquite,TX,32.7623,-96.5889,140937
Carrollton,TX,32.989,-96.8999,139248
Harlingen,TX,26.1917,-97.6976,136037
Round Rock,TX,30.5254,-97.666,133372
Abilene,TX,32.4543,-99.7384,123420
Pearland,TX,29.5585,-95.3215,122460
Richardson,TX,32.9717,-96.7093,121323
Sugar Land,TX,29.5935,-95.6357,118488
Texas City,TX,29.4128,-94.9658,118169
The Woodlands,TX,30.1738,-95.5134,113819
Lewisville,TX,33.0452,-96.9823,109212
League City,TX,29.4873,-95.1087,107536
Temple,TX,31.1076,-97.3894,107258
Allen,TX,33.1088,-96.6735,105623
Wichita Falls,TX,33.9072,-98.5291,104683
Edinburg,TX,26.3197,-98.1596,101170
San Angelo,TX,31.4424,-100.4506,101004
Longview,TX,32.5193,-94.7621,100330
Conroe,TX,30.3239,-95.4825,91079
New Braunfels,TX,29.6994,-98.1148,90209
Bryan,TX,30.6657,-96.3668,86276
Mission,TX,26.2041,-98.3251,84331
Atascocita,TX,29.9777,-95.1953,81557
Georgetown,TX,30.6668,-97.6953,79604
Cedar Park,TX,30.5106,-97.8196,79462
Flower Mound,TX,33.0344,-97.1146,79135
Pharr,TX,26.1685,-98.1904,79112
Texarkana,TX,33.4487,-94.0815,77964
Baytown,TX,29.7586,-94.9669,77192
San Marcos,TX,29.8736,-97.9381,76218
Lake Jackson,TX,29.0516,-95.4522,75860
Missouri City,TX,29.563,-95.5365,75457
Mansfield,TX,32.569,-97.1211,72419
Sherman,TX,33.6274,-96.6218,70704
North Richland Hills,TX,32.8605,-97.218,70670
Victoria,TX,28.8285,-96.985,68078
Rowlett,TX,32.9157,-96.5488,67339
Pflugerville,TX,30.452,-97.6022,65380
Leander,TX,30.5728,-97.8618,62608
Spring,TX,30.0613,-95.383,60976
Euless,TX,32.8508,-97.0799,57197
Eagle Pass,TX,28.7125,-100.484,55686
Grapevine,TX,32.9343,-97.0744,55281
Little Elm,TX,33.1856,-96.929,53126
Wylie,TX,33.0362,-96.5161,53067
DeSoto,TX,32.5992,-96.8633,52988
Galveston,TX,29.2487,-94.891,50446
Forney,TX,32.744,-96.4529,50251
