city,state_id,lat,lng,population
Dallas,TX,32.7936,-96.7662,5743938
Houston,TX,29.7863,-95.3889,5464251
San Antonio,TX,29.4658,-98.5253,2049293
Austin,TX,30.3004,-97.7522,1687311
Fort Worth,TX,32.7811,-97.3473,909585
El Paso,TX,31.8479,-106.4309,843386
McAllen,TX,26.2273,-98.2471,804114
Denton,TX,33.2176,-97.1419,457177
Arlington,TX,32.6998,-97.125,398854
Corpus Christi,TX,27.726,-97.3755,342464
Plano,TX,33.0502,-96.7487,287677
Lubbock,TX,33.5659,-101.8878,267648
Laredo,TX,27.5629,-99.4875,262491
McKinney,TX,33.2015,-96.6669,258277
Killeen,TX,31.0754,-97.7296,258009
Garland,TX,32.91,-96.6305,239928
Irving,TX,32.8584,-96.9702,239798
Brownsville,TX,25.998,-97.4565,227239
College Station,TX,30.5852,-96.296,215243
Amarillo,TX,35.1988,-101.8311,205603
Frisco,TX,33.1555,-96.8215,200490
Grand Prairie,TX,32.6872,-97.0209,194543
Waco,TX,31.5598,-97.1881,192315
Odessa,TX,31.8831,-102.3406,155998
Midland,TX,32.0249,-102.1137,154793
Port Arthur,TX,29.8554,-93.9264,154468
Pasadena,TX,29.6583,-95.1499,151227
